"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"1130441000033115","Propanix 40 Tablets 40 mg    ",,,,,"2699","CPRD_AURUM"
"75141000033112","Apsolol Tablets 10 mg    ",,,,,"0","CPRD_AURUM"
"68941000033112","Angilol Tablets 40 mg    ",,,,,"25","CPRD_AURUM"
"217541000033114","Cardinol Tablets 10 mg    ",,,,,"1","CPRD_AURUM"
"217741000033118","Cardinol Tablets 40 mg    ",,,,,"0","CPRD_AURUM"
"1130341000033114","Propanix 10 Tablets 10 mg    ",,,,,"2062","CPRD_AURUM"
"68841000033116","Angilol Tablets 10 mg    ",,,,,"17","CPRD_AURUM"
"75241000033117","Apsolol Tablets 40 mg    ",,,,,"103","CPRD_AURUM"
"143541000033110","Berkolol Tablets 10 mg    ",,,,,"2758","CPRD_AURUM"
"143641000033111","Berkolol Tablets 40 mg    ",,,,,"3908","CPRD_AURUM"
"1135041000033117","Propranolol 10mg tablets Tablet Oral Propranolol hydrochloride 10.000mg","2040000",,,,"6289595","CPRD_AURUM"
"768741000033110","Inderal 10mg tablets (AstraZeneca UK Ltd) Tablet Oral Propranolol hydrochloride 10.000mg",,,,,"115823","CPRD_AURUM"
"12682341000033117","Bedranol 10mg tablets (Ennogen Pharma Ltd) Tablet Oral Propranolol hydrochloride 10.000mg",,,,,"62","CPRD_AURUM"
"768841000033117","Inderal 40mg tablets (AstraZeneca UK Ltd) Tablet Oral Propranolol hydrochloride 40.000mg",,,,,"144261","CPRD_AURUM"
"1135241000033113","Propranolol 40mg tablets Tablet Oral Propranolol hydrochloride 40.000mg","2040000",,,,"8644668","CPRD_AURUM"
"12682441000033111","Bedranol 40mg tablets (Ennogen Pharma Ltd) Tablet Oral Propranolol hydrochloride 40.000mg",,,,,"478","CPRD_AURUM"
"1750241000033113","Propranolol 40mg/5ml oral solution Oral solution Oral Propranolol hydrochloride 8.000mg/1.000ml",,,,,"4297","CPRD_AURUM"
"5998141000033117","Propranolol 40mg/5ml oral suspension Oral suspension Oral Propranolol hydrochloride 8.000mg/1.000ml",,,,,"28","CPRD_AURUM"
"4955841000033115","Propranolol 40mg/5ml oral solution sugar free Oral solution Oral Propranolol hydrochloride 8.000mg/1.000ml",,,,,"10978","CPRD_AURUM"
"4955941000033111","Syprol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) Oral solution Oral Propranolol hydrochloride 8.000mg/1.000ml",,,,,"371","CPRD_AURUM"
"2267541000033111","Syprol 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) Oral solution Oral Propranolol hydrochloride 2.000mg/1.000ml","2040000",,,,"716","CPRD_AURUM"
"1125341000033118","Propranolol 10mg/5ml oral solution sugar free Oral solution Oral Propranolol hydrochloride 2.000mg/1.000ml","2040000",,,,"33623","CPRD_AURUM"
