"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"12373741000033114","Lorazepam Oral solution 1 mg/ml (5 mg/5 ml)    ",,,,,"264","CPRD_AURUM"
"458141000033114","Diazepam Rectubes Rectal tubes 20 mg    ",,,,,"48","CPRD_AURUM"
"460741000033117","Diazepam Syrup 2 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"91541000033111","Ativan Tablets 1 mg    ",,,,,"1444","CPRD_AURUM"
"797041000033110","Ketazolam Capsules 15 mg    ",,,,,"62","CPRD_AURUM"
"1379741000033111","Stesolid Injection 5 mg/ml    ",,,,,"62","CPRD_AURUM"
"1501741000033117","Valium Injection 10 mg    ",,,,,"785","CPRD_AURUM"
"1503941000033115","Valium Tablets 5 mg    ",,,,,"8396","CPRD_AURUM"
"558241000033114","Evacalm Tablets 2 mg    ",,,,,"212","CPRD_AURUM"
"3188341000033110","Diazepam Syrup 5 mg/5 ml    ",,,,,"0","CPRD_AURUM"
"91341000033116","Atensine Tablets 2 mg    ",,,,,"14","CPRD_AURUM"
"248641000033119","Chlordiazepoxide Hydrochloride Tablets 5 mg    ",,,,,"2547","CPRD_AURUM"
"250341000033110","Chlormezanone Tablets 200 mg    ",,,,,"5680","CPRD_AURUM"
"438341000033113","Diazepam Capsules 5 mg    ",,,,,"24549","CPRD_AURUM"
"978641000033116","Nobrium Capsules 5 mg    ",,,,,"577","CPRD_AURUM"
"1474641000033110","Trancopal Tablets 200 mg    ",,,,,"7923","CPRD_AURUM"
"1503841000033111","Valium Tablets 2 mg    ",,,,,"4228","CPRD_AURUM"
"457741000033114","Diazepam Rectubes 10 mg    ",,,,,"688","CPRD_AURUM"
"443641000033112","Diazepam Elixir 2 mg/5 ml    ",,,,,"61411","CPRD_AURUM"
"446741000033114","Diazepam Injection 5 mg/ml    ",,,,,"1557","CPRD_AURUM"
"837241000033111","Libraxin Tablets    ",,,,,"277","CPRD_AURUM"
"872441000033113","Medazepam Capsules 5 mg    ",,,,,"39","CPRD_AURUM"
"1503541000033114","Valium Tablets 10 mg    ",,,,,"1798","CPRD_AURUM"
"6031941000033113","Xanax Tablets 1 mg    ",,,,,"0","CPRD_AURUM"
"62341000033111","Anxon Capsules 30 mg    ",,,,,"5","CPRD_AURUM"
"91441000033110","Atensine Tablets 5 mg    ",,,,,"5","CPRD_AURUM"
"457841000033116","Diazepam Rectubes 5 mg    ",,,,,"442","CPRD_AURUM"
"533641000033117","Equanil Tablets 400 mg    ",,,,,"7622","CPRD_AURUM"
"835041000033114","Librium Tablets 10 mg    ",,,,,"104","CPRD_AURUM"
"1025941000033111","Oxazepam Tablets 30 mg    ",,,,,"9743","CPRD_AURUM"
"558341000033116","Evacalm Tablets 5 mg    ",,,,,"0","CPRD_AURUM"
"533541000033118","Equanil Tablets 200 mg    ",,,,,"1847","CPRD_AURUM"
"826541000033112","Lexotan Tablets 1.5 mg    ",,,,,"947","CPRD_AURUM"
"835141000033113","Librium Tablets 25 mg    ",,,,,"15","CPRD_AURUM"
"1351341000033112","Solis Capsules 5 mg    ",,,,,"0","CPRD_AURUM"
"248541000033115","Chlordiazepoxide Hydrochloride Tablets 10 mg    ",,,,,"1264","CPRD_AURUM"
"250241000033117","Chlordiazepoxide Tablets 25 mg    ",,,,,"744","CPRD_AURUM"
"250741000033111","Chlordiazepoxide Hydrochloride Tablets 25 mg    ",,,,,"3904","CPRD_AURUM"
"438241000033115","Diazepam Capsules 2 mg    ",,,,,"31962","CPRD_AURUM"
"797141000033114","Ketazolam Capsules 30 mg    ",,,,,"0","CPRD_AURUM"
"826641000033113","Lexotan Tablets 3 mg    ",,,,,"1300","CPRD_AURUM"
"835241000033118","Librium Tablets 5 mg    ",,,,,"65","CPRD_AURUM"
"979441000033111","Nobrium Capsules 10 mg    ",,,,,"203","CPRD_AURUM"
"163341000033112","Bromazepam Tablets 1.5 mg    ",,,,,"467","CPRD_AURUM"
"163441000033118","Bromazepam Tablets 3 mg    ",,,,,"763","CPRD_AURUM"
"1022641000033113","Oxazepam Capsules 30 mg    ",,,,,"2924","CPRD_AURUM"
"1503041000033116","Valium Suppositories 10 mg    ",,,,,"43","CPRD_AURUM"
"62241000033118","Anxon Capsules 15 mg    ",,,,,"45","CPRD_AURUM"
"91241000033114","Atensine Tablets 10 mg    ",,,,,"1","CPRD_AURUM"
"91641000033112","Ativan Tablets 2.5 mg    ",,,,,"28","CPRD_AURUM"
"237641000033119","Chlordiazepoxide Hydrochloride Capsules 10 mg    ",,,,,"2201","CPRD_AURUM"
"446641000033117","Diazepam Injection 10 mg    ",,,,,"2506","CPRD_AURUM"
"458441000033118","Diazepam Rectal tubes 20 mg    ",,,,,"280","CPRD_AURUM"
"901841000033115","Meprobamate Tablets 200 mg    ",,,,,"3036","CPRD_AURUM"
"1351241000033119","Solis Capsules 2 mg    ",,,,,"0","CPRD_AURUM"
"1428341000033111","Tensium Tablets 5 mg    ",,,,,"3","CPRD_AURUM"
"1498541000033113","Valium Capsules 2 mg    ",,,,,"67","CPRD_AURUM"
"1501841000033110","Valium Injection 5 mg/ml    ",,,,,"341","CPRD_AURUM"
"1503141000033117","Valium Syrup 2 mg/5 ml    ",,,,,"26","CPRD_AURUM"
"578341000033118","Flurazepam 15mg capsules Capsule Oral Flurazepam hydrochloride 15.000mg","4010100",,,,"14302","CPRD_AURUM"
"396341000033111","Dalmane 15mg capsules (Mylan) Capsule Oral Flurazepam hydrochloride 15.000mg","4010100",,,,"78649","CPRD_AURUM"
"396441000033117","Dalmane 30mg capsules (Mylan) Capsule Oral Flurazepam hydrochloride 30.000mg","4010100",,,,"65913","CPRD_AURUM"
"578441000033112","Flurazepam 30mg capsules Capsule Oral Flurazepam hydrochloride 30.000mg","4010100",,,,"9360","CPRD_AURUM"
"466841000033113","Diazepam 2mg tablets Tablet Oral Diazepam 2.000mg","15010401",,,,"15022118","CPRD_AURUM"
"1428241000033118","Tensium 2mg tablets (DDSA Pharmaceuticals Ltd) Tablet Oral Diazepam 2.000mg","15010401",,,,"8","CPRD_AURUM"
"466941000033117","Diazepam 5mg tablets Tablet Oral Diazepam 5.000mg","15010401",,,,"12328883","CPRD_AURUM"
"466741000033115","Diazepam 10mg tablets Tablet Oral Diazepam 10.000mg","15010401",,,,"2190004","CPRD_AURUM"
"1428141000033113","Tensium 10mg tablets (DDSA Pharmaceuticals Ltd) Tablet Oral Diazepam 10.000mg","15010401",,,,"0","CPRD_AURUM"
"2762341000033113","Diazepam 2mg/5ml oral solution Oral solution Oral Diazepam 400.000microgram/1.000ml","15010401",,,,"120304","CPRD_AURUM"
"1728141000033116","Diazepam 5mg/5ml oral solution Oral solution Oral Diazepam 1.000mg/1.000ml","15010401",,,,"3199","CPRD_AURUM"
"460041000033115","Diazepam 10mg suppositories Suppository Rectal Diazepam 10.000mg",,,,,"5522","CPRD_AURUM"
"1502941000033114","Valclair 10mg suppositories (Durbin Plc) Suppository Rectal Diazepam 10.000mg",,,,,"49","CPRD_AURUM"
"1543541000033117","Xanax 250microgram tablets (Upjohn UK Ltd) Tablet Oral Alprazolam 250.000microgram","4010200",,,,"11955","CPRD_AURUM"
"41141000033110","Alprazolam 250microgram tablets Tablet Oral Alprazolam 250.000microgram","4010200",,,,"21084","CPRD_AURUM"
"41241000033115","Alprazolam 500microgram tablets Tablet Oral Alprazolam 500.000microgram","4010200",,,,"25868","CPRD_AURUM"
"1543641000033116","Xanax 500microgram tablets (Upjohn UK Ltd) Tablet Oral Alprazolam 500.000microgram","4010200",,,,"9166","CPRD_AURUM"
"1455941000033116","Tropium 5mg capsules (Dr Reddy's Laboratories (UK) Ltd) Capsule Oral Chlordiazepoxide hydrochloride 5.000mg","4010200",,,,"21","CPRD_AURUM"
"827941000033116","Librium 5mg capsules (Mylan) Capsule Oral Chlordiazepoxide hydrochloride 5.000mg","4010200",,,,"2564","CPRD_AURUM"
"238141000033111","Chlordiazepoxide 5mg capsules Capsule Oral Chlordiazepoxide hydrochloride 5.000mg","4010200",,,,"563191","CPRD_AURUM"
"238241000033116","Chlordiazepoxide 10mg capsules Capsule Oral Chlordiazepoxide hydrochloride 10.000mg","4010200",,,,"554898","CPRD_AURUM"
"827841000033112","Librium 10mg capsules (Mylan) Capsule Oral Chlordiazepoxide hydrochloride 10.000mg","4010200",,,,"4368","CPRD_AURUM"
"2621141000033119","Tropium 10mg capsules (Dr Reddy's Laboratories (UK) Ltd) Capsule Oral Chlordiazepoxide hydrochloride 10.000mg","4010200",,,,"2","CPRD_AURUM"
"2621241000033114","Tropium 5mg tablets (Dr Reddy's Laboratories (UK) Ltd) Tablet Oral Chlordiazepoxide hydrochloride 5.000mg","4010200",,,,"16","CPRD_AURUM"
"250841000033118","Chlordiazepoxide 5mg tablets Tablet Oral Chlordiazepoxide hydrochloride 5.000mg","4010200",,,,"175694","CPRD_AURUM"
"250641000033119","Chlordiazepoxide 10mg tablets Tablet Oral Chlordiazepoxide hydrochloride 10.000mg","4010200",,,,"164254","CPRD_AURUM"
