"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1358941000033119","Sodium Valproate Sugar-free liquid 200 mg/5 ml    ","","","","","CPRD_AURUM"
"1363741000033116","Sodium Valproate Syrup 200 mg/5 ml    ","","","","","CPRD_AURUM"
"2271541000033113","Depakote 500mg gastro-resistant tablets (Sanofi) Gastro-resistant tablet Oral Valproate semisodium 500.000mg","4020300","","","","CPRD_AURUM"
"2711341000033117","Valproic acid 500mg gastro-resistant tablets Gastro-resistant tablet Oral Valproate semisodium 500.000mg","4020300","","","","CPRD_AURUM"
"13149641000033116","Belvo 500mg gastro-resistant tablets (Consilient Health Ltd) Gastro-resistant tablet Oral Valproate semisodium 500.000mg","","","","","CPRD_AURUM"
"13349541000033114","Syonell 500mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd) Gastro-resistant tablet Oral Valproate semisodium 500.000mg","","","","","CPRD_AURUM"
"2711241000033110","Valproic acid 250mg gastro-resistant tablets Gastro-resistant tablet Oral Valproate semisodium 250.000mg","4020300","","","","CPRD_AURUM"
"2271441000033112","Depakote 250mg gastro-resistant tablets (Sanofi) Gastro-resistant tablet Oral Valproate semisodium 250.000mg","4020300","","","","CPRD_AURUM"
"13348941000033113","Syonell 250mg gastro-resistant tablets (Lupin Healthcare (UK) Ltd) Gastro-resistant tablet Oral Valproate semisodium 250.000mg","","","","","CPRD_AURUM"
"13149541000033117","Belvo 250mg gastro-resistant tablets (Consilient Health Ltd) Gastro-resistant tablet Oral Valproate semisodium 250.000mg","","","","","CPRD_AURUM"
"1365041000033115","Sodium valproate 200mg gastro-resistant tablets Gastro-resistant tablet Oral Sodium valproate 200.000mg","4080100","","","","CPRD_AURUM"
"1747641000033110","Orlept 200mg gastro-resistant tablets (Wockhardt UK Ltd) Gastro-resistant tablet Oral Sodium valproate 200.000mg","4080100","","","","CPRD_AURUM"
